A1.1	This is Los Angeles.
B14.12	"What did you tell dad?"
B14.13	"He was asleep.  I left him a note.
B14.14	Said you'd lost your wallet and I needed to get you."
B14.15	"I love you," says Sasha.  "I'm sorry..."
B14.16	At home after putting Sasha to sleep, Margaret writes Alexander an email:
B14.17	I'll help you get your Pulitzer article together.
B14.18	I'll get you the Wall Street contacts you need.
B14.19	But you, stay away from my kid.
A15.1	The bathroom is full of wet steam.
A15.2	"Are you sure I should go to NY?" 
A15.3	"I'm sure," Clara says.
A15.4	"You'll have a great life."
A15.5	"You're being a bit too dramatic," Gary scoffs.
A15.6	"Our friends' baby has died, it's that kind of a day..." 
A15.7	Through the steam, she gathers the courage to say it: 
A15.8	"We're done Gary.  You and I, we're all done."
A15.9	She's not going to cry. 
A15.10	"Let's look at it as a new beginning for us," he deflects stepping out of his clothes.
A15.11	"I'll try out New York and then during the winter you'll join me."
A15.12	In the mirror she looks at her face; her eyebrows are filled with white hairs. 
A15.13	"I can't live like this anymore," she says. "It's not good for me.  I'm dying..."
A15.14	She's crying now. 
A15.15	"When we come back from New York," Gary says, "we should get going with that baby idea..."
A15.16	She enters the shower crying harder now. 
A15.17	Crying in the shower is safe.
A15.18	"We're done Gary." 
A15.19	He's right behind her.
A15.20	She closes her eyes.
A15.21	The baby has died
A15.22	"What do you think of my idea?" he asks... 
A15.23	But he's already inside her.  
B15.1	Steven wakes up Margaret in the middle of the night.
B15.2	"Sasha's crying.   Go to her,"
B15.3	He whispers,  "You go..."
B15.4	Margaret tiptoes next to Sasha.
B15.5	The crying turns to dry heaves.
B15.6	"I'm sorry," says Sasha. "Hell of a dream.
B15.7	I was alone with my mom."
B15.8	She catches herself, looks at Margaret who nods.
B15.9	"After she jumped, they never let me visit the hospital. 
B15.10	I've always wondered, what if I'd been there."
B15.11	Margaret and Sasha are quiet.
B15.12	"You saved someone's life..." says Margaret finally.
B15.13	You couldn't save her, but you saved Alexander..."
B15.14	"I know." says Sasha. "It's so weird."
B15.15	Sasha gets up: "I've been meaning to say -- You play the violin much better than my mom.
B15.16	I remember her practicing..."
B15.17	Three colorful foam tubes land on the Indian bedspread.
B15.18	"I challenge you two," Steven says, brandishing the tubes.
B15.19	"Lets use these to fight."
B15.20	His wife and daughter look up:   Steven looks like a big-bellied clown.
B15.21	For a moment, on 74th and Columbus, Apartment 9D, there's a mother and daughter, there's a dad, there is laughter.
C1.1	Two months later.
C1.2	October 2001 – New York City.
C1.3	"I wish you weren't going back to LA so soon.
C1.4	Not until we find Gary..."
C1.5	Clara puts her arm around Gary's mom.
C1.6	She looks up, so fragile.
C1.7	Clara cuts the scotch-tape, and Gary's mom chooses the spot for their flier.
C1.8	They walk the city looking for surfaces to plaster their plea:  "Missing since 9/11."
C1.9	Gary's face looks up from the flier: elated, graduating, cap and gown and all.
C1.10	They tape his face next to the weathered fliers of missing bankers, secretaries, firefighters.
C1.11	They run out, but Gary's mom is not done.
C1.12	She pulls Clara into the Kinko's on 72nd and Broadway.
C1.13	"I've noticed the successful fliers, how they do it," she whispers.
C1.14	"Successful fliers?" asks Clara.
C1.15	The hand of Gary's mom shakes. 
C1.16	She pulls a faded Polaroid out of her purse:  Gary, the toddler, bikes on the grass.
C1.17	"Let's add this photo next, then I want you to keep it..." 
C1.18	"I'll run us a thousand copies, ok?" Clara says softly.
C1.19	"The successful fliers, make you care..." 
C1.20	Gary's mom locks eyes with her daughter-in-law. 
C1.21	"We need people to care..." 
C2.1	Clara glances at Gary's mom, a few steps ahead, scouting out bulletin boards.
C2.2	Her own mother's voice comes through the cell, clear with purpose, as always:
C2.3	"I'm going to ask you again.  Have you told them about Gary's debts?"
C2.4	"Mom please."
C2.5	"He's dead, Clara... That boy's luck is over.  And you're stuck with all of his debts." 
C2.6	"They don't know about the pending divorce." 
C2.7	"Think about the rest of your life..." says her mother.
C2.8	"They got money.  You don't..." 
C2.9	In the distance, Gary's mother is fighting with a janitor,
C2.10	 "I got to go!" Clara blurts, and she runs.
C2.11	"This bulletin board is just for the church," the janitor yells.
C2.12	"Enough is enough, I clean up these fliers every day... These people are dead..."
C2.13	Clara finds herself screaming:  "It's her son...have a heart,"
C2.14	and then, she suddenly sees it:  A missing flier, discarded, on the ground.
C2.15	It's Margaret's face, xeroxed a few too many times.
C2.16	Any information, please call. 
C2.17	Clara picks up the flier... She looks at Margaret: black dress, and white pearls and her elegance.
C2.18	"Mother and wife" says the flier.  "Please, Call."
C3.1	Sasha stares at Alexander, as if staring at prey.
C3.2	A plastic zip-lock bag with Margaret's purple toothbrush lies on the bistro table between them.
C3.3	"I want you to go to the morgue and give this for the DNA sample," she says.
C3.4	"You owe this to Margaret. 
C3.5	You have to be part of trying to find her."
C3.6	Alexander sighs, he looks so much older. 
C3.7	"You take it in, Sasha.She was your mom."
C3.8	She leans in, all she wants is to kill him.
C3.9	Alexander gets up.
C3.10	"Go home to your dad."
C3.11	Sasha grabs the toothbrush and shoves it in her purse.
C3.12	"You broke Margaret's heart when you slept with me," she hisses.
C3.13	"I hope her ghost haunts you forever."
C3.14	Alexander leaves a 20 for their coffees.
C3.15	He doesn't wait for the change.
C3.16	Sasha can hear her heart beating out of control as she moves to the bar.
C3.17	The barman asks for ID. 
C3.18	"I bet you didn't get to celebrate," he says as he looks at the date: September 18th
C3.19	He slides over a dirty martini, and shrugs off her money.
C3.20	He tries to pick her up, but she doesn't let him. 
C4.1	"I couldn't have made it without Clara today."
C4.2	Gary's mom cuts a thick slice of coffee cake.
C4.3	Even in deep grief, she serves tea with linen napkins and china.
C4.4	All around Clara sit photos of Gary.
C4.5	Cards of sympathy, supported on tables.
C4.6	 An email card from the graduating class of UCLA. 
C4.7	A bouquet of white orchids, from Jeannie and Tommy.
C4.8	Clara feels sick.   
C4.9	The coffeecake rises to her throat. 
C4.10	"This is the third time you've been sick today," says Gary's mom.
C4.11	"Your nerves are a wreck. You want some of my Xanax?..."
C4.12	When she's done throwing up, Clara remembers to clean everything well, (underneath the toilet seat, always check that,) before she settles back in.
C4.13	"I know he's not dead," Gary's mother says.
C4.14	Someone's bound to come forward... The new flier's much better."
C4.15	Clara feels the stare of Gary's father rising up from The New York Times.
C4.16	"I really think you should make some arrangements and stay with us for a while.
C4.17	Clara hugs Gary's mom.
C4.18	"I can't give up, yet" the old woman whispers.
C4.19	"If you were a mother, you'd know..."
C4.20	If you were a mother... Clara shivers.
C5.1	Clara walks the empty Walmart aisles.
C5.2	It's 9:30 at night.
C5.3	Halloween masks and candy.
C5.4	Plastic lanterns for the plastic dead... she's looking... stops in front of the pregnancy tests.
C5.5	She can't keep ignoring the facts.
C5.6	The test sits alone in her basket. 
C5.7	At the cashier's, she opens her purse and Margaret's face stares at her from the flier.
C5.8	Haunted, Clara walks the half block back to her hotel.
C5.9	"Excuse me, Miss..." The employees at reception surround her with an afterglow of pity.
C5.10	"Someone's waiting for you at the bar."
C5.11	Gary's father stands up.
C5.12	A business man, he cuts to the chase. 
C5.13	"I had Gary's correspondence forwarded to me.
C5.14	I found a letter from a lawyer you hired.
C5.15	Zimmler, is that right?"
C5.16	Gary's father is shaking.
C5.17	She's been dreading these words: "Fooling me and my wife in our grief..."
C5.18	"I don't want to see you again, you go back to LA, as you planned.
C5.19	It all makes sense now. 
C5.20	You don't give a damn."
C5.21	Clara sits down.  Too exhausted to cry.
C5.22	The hotel clerk brings her a glass of red wine.
C5.23	"On the house," and she can feel his compassion.
C6.1	Steven opens the door of his office to lead out a patient and Clara's right there, waiting on the soft maroon couch.
C6.2	For one crazy double-take moment he thinks: Is she here because I never answer her letters?
C6.3	He waves her in – on a reflex.
C6.4	What Clara notices:  his weight and sad eyes.
C6.5	The room is padded with sound insulation.
C6.6	"I know about Margaret," she whispers.  "She's  missing."
C6.7	The chair is uncomfortable.
C6.8	"No," he says, in the detached voice of a therapist.
C6.9	Margaret is not missing. Margaret is dead."
C6.10	His hands flex an anger management foam tube.
C6.11	When Clara starts crying, there's no end to the tears. 
C6.12	He wants her to stay but she apologizes... "Later..."  she says...
C6.13	"I'm so sorry...Let me gather myself."
C6.14	Clara scrambles in her purse for a blank piece of paper. 
C6.15	"I remember your cell," he says.
C6.16	The sound proof room is so incredibly quiet after Clara leaves.
C6.17	Steven picks up the anger-management foam tubes. 
C6.18	He's about to put them away when he smashes them into his chair.
C7.1	The ceiling in Sasha's room is finally fixed. 
C7.2	Steven sits in front of his Scotch.
C7.3	On the TV -- the Middle East, India, Wars, Earthquakes, Crashes.
C7.4	He can't stand the news.
C7.5	He swallows a sleeping pill.
C7.6	Why did Margaret go back to work in September? She didn't need to go back to work... 
C7.7	Sasha folds up the pull-out couch.
C7.8	Her voice sounds pragmatic: "I gave Margaret's toothbrush for the DNA file today..."
C7.9	Steven hides his face in his hands.
C7.10	He only says:  "Clara's in town." 
C7.11	Sasha stops.   "Not even a month since Margaret died, you're running into the arms of ex-girlfriends?"
C7.12	 She waves her father away... 
C7.13	Inside her room, she tears down the tarps. 
C7.14	Stops, out of breath. 
C7.15	Looks at the unopened pile of mail. 
C7.16	"Happy 21st Birthday!" says the card posted in LA in August.
C7.17	Worlds within worlds, creatures of the woods and of the seas.
C7.18	"Let me know how you are," Clara's added. 
C7.19	Sasha tears up the card and tosses it into the garbage.
C8.1	"At least give us something of his.  Some closure, I beg you..."
C8.2	Gary's mother is crying on the phone. 
C8.3	Clara in her hotel room, curled up in a ball.
C8.4	"I don't have his things anymore..." she says.
C8.5	"Nothing?  You have nothing?!"
C8.6	"I don't have his toothbrush, his comb, anything to help with the DNA tracking..."
C8.7	She can hear Gary's father struggling for the phone.
C8.8	"You cleaned him out of your life – way too fast..."
C8.9	He's hung up.
C8.10	Her face burns. 
C8.11	The phone rings right back: "California is a common-law state; you're responsible for..." 
C8.12	"Stop it, mama"  Her heart beats so loud.
C8.13	"I found out something horrible mama, remember Sasha – the little girl I used to take care of during grad-school? 
C8.14	Her step-mother also died in the towers."
C8.15	Her mom's voice is like steel.
C8.16	"Everyone suffers in life; right now, I can only worry about you."
C8.17	Clara shakes her head.
C8.18	Words dry up in her mouth.
C8.19	She hangs up.
C8.20	She takes her purse and empties it:  Gary's toddler Polaroid photo, Margaret's flier, the pregnancy test.
C8.21	She takes the test in the bathroom.
C8.22	And braces herself.
C9.1	In front of Margaret's laptop, Sasha hits "Print."
C9.2	Margaret's inbox, an endless scroll on the screen. 
C9.3	"Dear Alexander: I'll meet with my colleagues, on September 11th.
C9.4	I'll get you your Pulitzer-piece, but I repeat, you stay away from my kid."
C9.5	Steven's bottle of Scotch is almost empty beside Sasha.
C9.6	She chugs one last sip, then takes off... 
C9.7	She's surprised Alexander opens his door.
C9.8	She can see right behind him, his bathroom. 
C9.9	The door still all frosted glass. Now fixed.
C9.10	She refuses to enter, hands him two zip-locks.
C9.11	"Margaret's nail-clippings and hair.  They're good for DNA too...
C9.12	"You're morbid."  He goes to close the door in her face.
C9.13	Sasha starts stripping.
C9.14	He's panicked, looks down the hallway, thankfully empty. 
C9.15	He holds onto the zip locks.
C9.16	"I'll take them to the morgue tomorrow, get dressed"...
C9.17	But Sasha keeps on.
C9.18	"I found out why Margaret died,"
C9.19	"I found out why she went to the office."
C9.20	Her laughter sounds like a mating hyena. 
C9.21	"Do I look like Margaret now?"
C9.22	He slams the door shut.
C9.23	Shaking, Sasha slips the printed email underneath the door.
C9.24	On it she's written: "You killed her."
C10.1	Clara sits next to Steven, on his couch.
C10.2	She eats his homemade chili, always better than hers, always soothing. 
C10.3	Served in rustic pottery; not plastic.
C10.4	"Could Gary be running away from his debts?
C10.5	Why would he even be near the Towers?"
C10.6	Clara feels defensive:
C10.7	"Gary was creating site-specific art.  He'd never just disappear."
C10.8	She tries to concentrate on the reason she's here: 
C10.9	"I need to help his parents. If someone writes an article about him..." 
C10.10	Steven rummages through paperwork.
C10.11	"There's only one journalist I know." 
C10.12	He hands her a card: Alexander Sukurov.
C10.13	"An old friend of Margaret's." Clara nods thankful. 
C10.14	"Maybe it's not the best thing to see Sasha today," says Steven.
C10.15	"She's having a very hard time." 
C10.16	Clara pauses.  "When I sent her her birthday card I was so stuck, so trapped.
C10.17	"And now?" Steven stares at her.
C10.18	Clara looks up at the man she once loved. 
C10.19	"Now I feel guilty.  And scared."
C11.1	Clara sits across from Alexander at his make-shift office at ground zero.  
C11.2	She likes him:  the way he asks questions, how he leans in to listen to details. 
C11.3	He promises to do his best to get an article out: Has anyone seen Gary Loisin?
C11.4	The room of volunteers hums, content.
C11.5	Work keeps everyone sane. 
C11.6	"When this time passes," says Alexander, "you can come work with me.
C11.7	In case you want to stay close until he's found... Stay close to where he is..."
C11.8	She's thankful for this unexpected compassion.
C11.9	She's thankful for Alexander Sukurov.
C11.10	On 74th and Columbus, Apartment 9D, Steven begins to clean up.
C11.11	Bach's Second Violin concerto fills the apartment, as if Margaret's playing.
C11.12	He stares at Margaret's mustard-stained blouse.
C11.13	He still can't bare to clean it, folds the Indian bedspread instead.
C11.14	He flows with the music.
C11.15	 Grief makes you nauseous. 
C11.16	In Sasha's room, he empties the trash.
C11.17	That's when he finds it:  Clara's torn birthday card and then -- the empty pill-box.
C11.18	Margaret's sleeping pills. 
C11.19	They're all gone. 
C12.1	Sasha walks into Alexander's offices.
C12.2	She's calm.
C12.3	Rubs her eyes.
C12.4	She's suddenly cold.
C12.5	She wants to sleep.
C12.6	All she wants is to sleep.
C12.7	She's already dreaming, Margaret shows her a window:  "This is the way out," she says. 
C12.8	Sasha wants Alexander to see her. She wants him to watch.   
C12.9	Across the room: Clara notices this girl dozing over, a volunteer falling asleep on the job.
C12.10	So much stress.
C12.11	But then she sees Alexander walking over to her.  
C12.12	Shaking the girl. 
C12.13	Yelling at her.
C12.14	Suddenly angry, unrecognizably angry, then scared. 
C12.15	Young people, congregate, pull rashly away... 
C12.16	Clara gets up from her chair.
C12.17	"You cannot save people,"  Jeannie said that night in LA,
C12.18	"You cannot save the people you love..." 
C12.19	And then Clara runs... No thinking. Just movement.
C12.20	She slaps this girl.
C12.21	Alexander watches terrified as Clara screams, "911".
C12.22	And then sticks her fingers inside Sasha's throat.
C12.23	Sasha moans, half opens her eyes and she gags.
C12.24	"Clara" she says...
C12.25	Terror and relief live on Clara's face as she starts CPR.
C12.26	"I got you Sasha," she tells her.
C13.1	Steven holds Sasha.
C13.2	She's alive.  She's with him. 
C13.3	"This is not a repeat of last year," Sasha whispers.
C13.4	"I'm here," he repeats again and again...
C13.5	Father and daughter.  A tiny unit surrounded by wires and white sheets.
C13.6	Steven puts on some music, watching his child sleep.
C13.7	Clara walks outside in the hallway.
C13.8	A nurse passes and smiles at her. 
C13.9	"You should join EMS," she jokes once again.
C13.10	"Want a coffee love?  Tea?"  Clara nods. 
C13.11	Checks her watch; her flight leaves in 8 hours.
C13.12	She feels warm. 
C13.13	She feels safe and then she looks down at her legs.
C13.14	When she walks to the nurses' station, she's remarkably calm.
C13.15	"I'm pregnant," she says.
C13.16	"I think I need an ultrasound.  I'm bleeding."
C13.17	Lying in the semi-dark room, she keeps her eyes closed as the technician moves over her abdomen. 
C13.18	"You want to hear it?" asks the nurse. 
C13.19	Clara opens her eyes.
C13.20	The black and white images come and go on the screen just like clouds... 
C13.21	The woman smiles at her. "You want to hear its heart?" 
C13.22	Clara nods.
C13.23	"Can we tape it?" she whispers. 
C14.1	On 30th Street and First Avenue sits a complex of tents. 
C14.2	Alexander watches the makeshift compound.
C14.3	Traffic whistles along the FDR drive. 
C14.4	The huge white tent is a magnet.
C14.5	He knows what's inside.
C14.6	Sixteen refrigerated trailers, humming engines, fragments of lives, remains coming in every day. 
C14.7	 Is Margaret in there?
C14.8	It has started to rain. 
C14.9	An elderly couple approaches, then stops, almost embarrassed.
C14.10	"I'm sorry," says the old man. 
C14.11	"We thought you were someone else..."
C14.12	"He thought you were our son," says his wife.  
C14.13	"But our son is in there..." She points to the tent.
C14.14	She laughs, a gentle laugh, full of wonder. 
C14.15	"They found a small fragment. A bone. 
C14.16	Do you have someone there?"
C14.17	Alexander pauses. 
C14.18	"I'm sorry," says the old man... 
C14.19	"It's not our place to ask..."
C14.20	"I should have died," says Alexander.
C14.21	"Two weeks before 9/11.
C14.22	I had a heart attack.
C14.23	If I had died, Margaret would still be alive," he hears himself saying...
C15.1	Clara takes an electric candle out of a Halloween lantern.
C15.2	They won't allow open flames at the hospital.
C15.3	She ducks as she enters Sasha's hospital room.  
C15.4	The hand-made Happy Birthday Banner still hits her on the back.
C15.5	She places the electric candle on the cupcake. 
C15.6	Sasha blows and Steven turns off the flame. 
C15.7	The nurses applaud.
C15.8	Clara keeps hearing the sound of the baby's heartbeat in her head.
C15.9	Faster than a bird's, faster than she could ever have imagined, faster than fear.
C15.10	This sound, she thinks, is the opposite of death.
C15.11	On 30th street and First Avenue, the rain beats fast against the chalk-white canvas. 
C15.12	Alexander and the old couple stand underneath.
C15.13	A preacher leads half a dozen people in prayer.
C15.14	Alexander takes a lantern, the old couple take another and place them at the foot of a trailer.
C15.15	Across town, Gary's father turns to his wife:  "Clara called," he says quietly. 
C15.16	"She says she has something she wants us to hear." 
C15.17	When Clara heads to the airport, it is not yet dawn. 
C15.18	The taxi driver locks eyes with her in the mirror. 
C15.19	He's Sikh. 
C15.20	His turban blocks her view of the asphalt.
C15.21	Clara watches out of the window as morning light rises over Manhattan.
C15.22	Out of deep darkness comes the day, she thinks.
C15.23	The sun is white, floods Clara's eyes.
C15.24	Like birth.  Each day.
